export_date,playerid,is_generated,firstname,lastname,commonname,display_name,jerseyname,birthdate,age,nationality,gender,preferredfoot,preferredposition1,preferredposition2,preferredposition3,preferredposition4,preferredposition5,preferredposition6,preferredposition7,role1,role2,role3,role4,role5,overallrating,potential,internationalrep,pacdiv,shohan,paskic,driref,defspe,phypos,gkdiving,gkhandling,gkkicking,gkpositioning,gkreflexes,crossing,finishing,headingaccuracy,shortpassing,volleys,defensiveawareness,standingtackle,slidingtackle,dribbling,curve,freekickaccuracy,longpassing,ballcontrol,shotpower,jumping,stamina,strength,longshots,acceleration,sprintspeed,agility,reactions,balance,aggression,composure,interceptions,positioning,vision,penalties,trait1,trait2,icontrait1,icontrait2,skillmoves,skillmoveslikelihood,weakfootabilitytypecode,height,weight,contractvaliduntil,playerjointeamdate,isretiring,teamid,teamname,jerseynumber,squad_position,leagueid,leaguename,league_level,form,injury,leagueappearances,leaguegoals,leaguegoalsprevmatch,leaguegoalsprevthreematches,yellows,reds,istopscorer,isamongtopscorers,isamongtopscorersinteam
28_09_2025,70803,0,,,,Anaïs Ebayilin,,155292,17,18,1,1,14,10,-1,-1,-1,-1,-1,19,18,0,0,0,73,86,1,48,65,70,74,62,60,12,7,7,13,6,60,65,55,77,55,58,66,60,78,53,60,76,79,66,61,61,64,66,51,46,60,68,62,50,56,66,70,72,56,0,0,0,0,1,1,3,167,62,2026,161203,0,116034,Paris SG,26,28,2218,Arkema PL,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,70888,0,,,,Anan Khalaili,,154092,21,26,0,1,12,3,23,-1,-1,-1,-1,23,26,6,0,0,78,86,1,83,71,70,80,66,72,11,15,8,13,6,76,80,59,71,68,66,70,67,81,71,52,68,82,70,77,82,66,64,81,85,81,67,79,72,67,66,72,72,53,8192,0,0,0,3,3,4,183,77,2028,161333,0,2014,R. Union St.-G.,25,12,4,1A Pro League,1,5,0,0,3,0,0,0,0,0,0,0
28_09_2025,70903,0,,,,Alex Tóth,,154507,19,23,0,1,14,10,-1,-1,-1,-1,-1,18,0,0,0,0,72,85,1,69,68,74,71,66,63,9,8,9,12,13,75,68,51,76,58,69,70,68,74,81,69,75,75,72,63,69,58,71,71,69,68,70,59,70,58,65,65,73,58,4096,0,0,0,1,1,3,181,70,2031,161901,0,1886,Hungary,27,11,78,Men's National,5,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,71178,0,,,,Said El Mala,,154814,19,21,0,1,16,18,25,27,-1,-1,-1,30,27,32,43,0,75,86,1,82,73,65,81,39,64,14,13,12,14,9,62,80,41,71,63,42,37,39,86,70,46,59,76,79,68,65,68,71,83,82,86,74,84,51,68,39,74,67,53,1048640,0,0,0,3,3,4,187,80,2030,161333,0,31,1. FC Köln,13,19,19,Bundesliga,1,4,0,0,9,0,0,0,0,0,0,1
28_09_2025,71305,0,,,,Joaquin Seys,,154298,20,7,0,2,7,3,16,-1,-1,-1,-1,9,8,5,0,0,74,87,1,81,54,70,72,68,68,12,15,14,10,12,76,61,54,77,63,69,71,72,70,66,31,68,77,56,73,73,66,35,82,81,79,64,76,64,69,68,68,69,41,0,0,0,0,1,1,4,178,63,2030,161734,0,450,Celta,3,16,53,LALIGA EA SPORTS,1,3,0,0,2,0,0,0,0,0,0,0
28_09_2025,71350,0,,,,Joane Gadou,,154958,18,18,0,1,5,-1,-1,-1,-1,-1,-1,12,0,0,0,0,67,85,1,70,33,44,41,66,72,14,6,9,13,11,26,30,70,63,28,64,68,64,27,34,27,58,58,49,80,64,80,28,68,74,49,60,49,63,46,65,25,31,39,1024,0,0,0,1,1,2,195,78,2029,161466,0,191,RB Salzburg,23,6,80,Ö. Bundesliga,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,71351,0,,,,Jorthy Mokio,,155366,17,7,0,2,10,14,7,-1,-1,-1,-1,17,14,18,8,0,70,88,1,70,51,64,72,68,66,7,13,7,10,9,58,57,59,73,46,71,72,70,75,36,22,71,74,53,73,59,74,47,69,70,65,66,65,51,72,67,24,68,41,0,0,0,0,1,1,4,183,72,2027,161333,0,245,Ajax,24,28,10,Eredivisie,1,4,0,0,2,0,0,0,0,0,0,0
28_09_2025,71418,0,,,,Bazoumana Touré,,154637,19,108,0,2,16,18,27,-1,-1,-1,-1,30,27,31,39,0,76,86,1,91,62,66,79,29,52,5,8,12,6,9,72,67,48,72,49,23,36,25,84,59,35,65,76,64,66,67,51,59,90,92,87,67,85,36,56,22,68,66,46,33554432,0,0,0,3,3,3,175,68,2029,161548,0,10029,TSG Hoffenheim,29,27,19,Bundesliga,1,4,0,0,2,0,0,0,0,0,0,0
28_09_2025,71532,0,,,,Kees Smit,,154596,19,34,0,1,18,14,10,-1,-1,-1,-1,31,20,16,0,0,74,88,1,65,62,73,79,63,68,9,9,10,12,7,66,60,52,79,58,63,65,63,81,78,56,72,79,64,67,79,65,64,73,59,78,72,76,64,79,64,68,78,66,5244928,0,0,0,3,2,4,180,66,2028,160966,0,1906,AZ,26,15,10,Eredivisie,1,5,0,0,3,0,0,0,0,0,0,1
28_09_2025,71651,0,,,,Josh Acheampong,,154701,19,14,0,1,5,3,10,-1,-1,-1,-1,12,4,14,0,0,73,85,1,76,50,66,69,73,73,5,15,13,9,10,65,45,71,70,44,75,73,72,71,60,46,66,71,62,84,67,76,55,75,77,66,70,63,73,69,72,60,65,46,0,0,0,0,1,1,3,190,85,2029,161153,0,457,Real Sociedad,26,29,53,LALIGA EA SPORTS,1,3,0,0,1,0,0,0,0,0,0,0
28_09_2025,72093,0,,,,Martim Fernandes,,154594,19,38,0,1,3,12,-1,-1,-1,-1,-1,6,5,0,0,0,76,86,1,81,56,70,75,71,65,13,8,13,11,7,75,43,55,77,53,75,75,74,76,63,50,63,76,75,72,74,59,66,82,81,79,75,66,67,66,69,72,70,58,4096,0,0,0,1,2,2,181,73,2030,161759,0,231,Club Brugge,2,29,4,1A Pro League,1,4,0,0,1,0,0,0,0,0,0,0
28_09_2025,72159,0,,,,Mikey Moore,,155164,18,14,0,1,27,16,18,-1,-1,-1,-1,38,40,30,33,0,74,87,1,76,68,72,75,35,54,6,6,5,10,14,73,75,53,75,53,38,33,27,77,71,57,66,75,69,63,65,54,69,79,76,77,69,76,41,73,29,70,75,57,16777216,0,0,0,2,2,4,180,75,2030,161273,0,86,Rangers,47,18,50,Scottish Prem,1,2,0,0,5,0,0,0,0,0,0,1
28_09_2025,72705,0,,,,Eunate Astralaga,,154545,19,45,1,1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,78,89,1,78,76,75,77,45,74,80,78,76,74,77,18,10,26,30,15,12,23,17,16,16,18,20,21,56,71,31,72,11,46,45,42,73,51,25,37,10,10,41,20,0,0,0,0,0,0,2,186,70,2026,161411,0,116331,SD Eibar,1,0,2222,Liga F Moeve,1,2,0,0,0,0,0,0,0,0,0,0
28_09_2025,72997,0,,,,Rodrigo Mora,,155066,18,38,0,1,18,27,14,25,-1,-1,-1,32,31,39,20,0,77,89,1,77,66,75,80,40,41,8,14,11,6,8,72,71,40,79,66,42,45,36,78,84,56,71,81,61,49,59,33,67,81,74,85,79,92,41,73,33,75,78,62,9445505,0,0,0,3,3,4,168,56,2030,160967,0,236,FC Porto,86,28,308,Liga Portugal,1,3,0,0,1,0,0,0,0,0,0,0
28_09_2025,73884,0,,,,Christos Mouzakitis,,154935,18,22,0,2,14,18,10,-1,-1,-1,-1,18,0,0,0,0,73,86,1,70,63,74,74,62,66,14,9,5,11,13,70,61,52,80,60,65,62,61,73,74,66,71,76,65,66,74,63,71,72,68,79,73,76,64,69,66,66,77,55,4195328,0,0,0,2,2,3,175,67,2029,161333,0,280,Olympiacos FC,96,11,76,Men's ROW,4,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,73885,0,,,,Charalampos Kostoulas,,155068,18,22,0,1,25,18,12,-1,-1,-1,-1,41,0,0,0,0,74,85,1,86,69,61,74,41,77,10,13,14,7,7,45,74,72,72,68,40,43,34,75,62,40,63,77,70,90,74,81,60,84,87,73,69,73,71,71,34,70,63,72,0,0,0,0,2,2,3,185,75,2030,161698,0,1808,Brighton,19,28,13,Premier League,1,3,0,0,2,0,0,0,0,0,0,1
28_09_2025,73921,0,,,,Nathan De Cat,,155507,17,7,0,1,10,14,-1,-1,-1,-1,-1,14,49,0,0,0,68,87,1,62,48,63,65,66,68,5,6,13,13,11,55,46,65,70,40,65,69,65,63,43,44,71,69,62,69,72,69,41,60,63,59,63,69,62,71,65,60,64,55,0,0,0,0,1,1,3,192,86,2027,161698,0,229,RSC Anderlecht,74,9,4,1A Pro League,1,3,0,0,3,0,0,0,0,0,0,1
28_09_2025,74395,0,,,,Laura Sánchez,,154711,19,45,1,1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,75,85,1,74,75,65,72,31,72,74,76,67,73,73,13,10,21,25,10,10,21,22,14,16,17,20,21,49,55,24,51,9,33,32,30,75,51,25,23,15,12,30,20,0,4,0,0,0,0,2,170,60,2030,161372,0,131391,Granada CF,1,0,2222,Liga F Moeve,1,4,0,0,0,0,0,0,0,0,0,0
28_09_2025,74413,0,,,,Harrison Armstrong,,154960,18,14,0,1,14,10,-1,-1,-1,-1,-1,18,14,0,0,0,73,85,1,69,64,70,72,68,73,8,7,14,12,7,59,62,60,75,59,69,71,72,73,66,54,75,74,71,70,82,69,65,66,71,67,74,65,74,76,69,70,73,52,0,0,0,0,1,1,3,185,70,2027,161333,0,7,Everton,45,28,13,Premier League,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,74449,0,,,,Ibrahim Mbaye,,155330,17,136,0,1,23,27,12,-1,-1,-1,-1,35,37,38,0,0,74,85,1,89,63,63,78,28,51,15,14,7,9,9,64,64,39,69,56,26,29,26,79,61,49,53,78,71,61,58,48,60,91,88,85,73,78,47,70,24,72,66,56,34603008,0,0,0,2,2,3,176,65,2026,161379,0,73,Paris SG,49,29,16,Ligue 1 McDonald's,1,3,0,0,1,0,0,0,0,0,0,0
28_09_2025,74463,0,,,,Marc Bernal,,155087,18,45,0,2,10,14,-1,-1,-1,-1,-1,16,14,20,0,0,75,86,1,68,59,71,74,70,71,12,8,7,14,5,63,63,52,78,49,70,75,74,74,63,54,75,76,57,68,64,75,56,66,70,73,75,72,73,71,72,67,73,52,0,2048,0,0,1,1,3,193,84,2029,160967,0,88,Birmingham City,15,29,14,EFL Championship,2,4,0,0,2,0,0,0,0,0,0,0
28_09_2025,74566,0,,,,Samuel Mbangula,,153861,21,7,0,1,16,27,-1,-1,-1,-1,-1,27,28,39,0,0,74,85,1,79,71,66,77,35,55,14,10,14,15,11,72,72,59,69,74,33,33,35,80,70,70,60,78,73,62,74,46,67,76,83,70,73,77,55,61,31,72,61,66,0,0,0,0,3,2,3,179,65,2030,161720,0,38,SV Werder Bremen,7,28,19,Bundesliga,1,3,0,0,3,0,0,0,0,0,0,1
28_09_2025,75055,0,,,,Jesús Rodríguez,,154536,19,45,0,1,16,12,27,-1,-1,-1,-1,30,27,26,0,0,76,85,1,80,69,71,78,37,59,8,11,14,8,7,74,71,60,72,65,29,39,39,82,70,56,69,79,72,76,65,60,66,83,78,83,71,61,47,70,33,72,75,61,0,0,0,0,2,3,3,185,68,2029,161699,0,1745,Como,17,16,31,Serie A Enilive,1,4,0,0,1,0,0,0,0,0,0,0
28_09_2025,75087,0,,,,Ayden Heaven,,154841,19,14,0,2,5,-1,-1,-1,-1,-1,-1,11,0,0,0,0,73,85,1,69,31,57,65,73,72,6,9,6,7,8,43,27,72,72,30,74,74,73,66,50,33,60,65,39,83,66,76,31,70,69,58,72,53,70,71,73,35,55,42,0,0,0,0,1,1,3,189,84,2029,161548,0,463,D. Alavés,2,29,53,LALIGA EA SPORTS,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,75108,0,,,,Veerle Buurman,,154687,19,34,1,2,5,-1,-1,-1,-1,-1,-1,11,0,0,0,0,70,86,1,66,35,51,52,71,65,13,12,10,10,6,34,36,70,69,27,68,75,71,38,35,33,56,70,38,71,64,65,31,64,68,47,63,60,66,61,71,31,42,47,0,0,0,0,1,1,3,173,60,2028,161733,0,116010,Chelsea,5,29,2216,Barclays WSL,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,75725,0,,,,Cathinka Tandberg,,154015,21,36,1,1,25,-1,-1,-1,-1,-1,-1,44,42,0,0,0,72,86,1,75,74,57,70,38,72,5,11,14,14,14,41,77,69,66,68,34,39,32,70,63,58,45,72,73,79,69,75,72,73,77,65,60,71,67,69,31,73,64,61,0,0,0,0,2,1,3,176,65,2028,161767,0,116011,Tottenham,19,25,2216,Barclays WSL,1,2,0,0,6,0,0,0,0,0,1,1
28_09_2025,75726,0,,,,Signe Gaupset,,154380,20,36,1,1,14,18,10,-1,-1,-1,-1,18,31,0,0,0,72,85,1,75,73,71,75,55,70,10,12,12,9,14,60,73,48,75,63,44,68,53,76,70,68,71,78,83,71,75,73,70,77,73,68,66,81,56,68,55,70,76,67,0,0,0,0,3,2,5,173,62,2029,161882,0,116011,Tottenham,34,28,2216,Barclays WSL,1,5,0,0,2,0,0,0,0,0,0,1
28_09_2025,76125,0,,,,Colby Donovan,,154826,19,42,0,1,3,5,-1,-1,-1,-1,-1,3,0,0,0,0,66,85,1,73,48,58,63,61,69,5,10,15,13,11,67,47,65,60,43,58,68,65,64,53,47,58,64,55,74,71,69,47,73,75,69,57,65,72,59,55,51,50,50,0,0,0,0,2,2,3,180,76,2027,161395,0,15009,SCR Altach,2,29,80,Ö. Bundesliga,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,76331,0,,,,Bo van Egmond,,154893,18,34,1,1,25,23,12,-1,-1,-1,-1,41,36,0,0,0,66,86,1,82,65,59,65,29,58,7,12,14,7,10,62,69,61,64,59,20,30,23,66,60,46,56,67,64,76,52,60,63,83,81,66,57,65,55,58,29,62,53,57,0,0,0,0,2,1,3,175,62,2029,161517,0,131359,Ajax,11,23,2226,Women's ROW,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,76410,0,,,,Robinio Vaz,,154989,18,18,0,1,25,-1,-1,-1,-1,-1,-1,41,0,0,0,0,71,86,1,84,70,55,67,31,66,9,14,11,10,9,55,72,72,59,60,25,31,23,66,59,52,48,69,82,83,64,72,59,82,85,76,66,65,52,69,29,69,54,68,0,0,0,0,2,2,3,185,74,2030,161895,0,537,FCV Dender EH,9,29,4,1A Pro League,1,2,0,0,0,0,0,0,0,0,0,0
28_09_2025,76416,0,,,,Christian Kofane,,154783,19,103,0,1,25,-1,-1,-1,-1,-1,-1,42,0,0,0,0,75,85,1,78,74,61,72,31,69,14,14,14,7,12,54,76,76,71,73,30,29,23,73,54,49,56,74,78,84,63,70,71,78,79,67,71,68,73,69,20,77,65,66,0,0,0,0,2,2,3,189,68,2029,161708,0,32,Leverkusen,35,29,19,Bundesliga,1,3,0,0,5,0,0,0,0,0,0,1
28_09_2025,76624,0,,,,Vitor Reis,,154588,19,54,0,1,5,-1,-1,-1,-1,-1,-1,12,11,0,0,0,75,85,1,72,33,60,67,75,72,9,9,15,15,14,28,30,78,76,32,74,76,73,69,42,33,69,70,43,83,65,74,33,70,76,64,75,56,73,66,76,29,68,46,32768,0,0,0,1,1,3,186,77,2029,161537,0,110062,Girona FC,12,4,53,LALIGA EA SPORTS,1,3,0,0,1,0,0,0,0,0,0,0
28_09_2025,76687,0,,,,Estêvão,,155055,18,54,0,2,12,23,-1,-1,-1,-1,-1,26,23,0,0,0,80,89,1,90,75,74,84,33,57,9,15,13,6,11,77,74,52,77,66,29,35,27,84,79,71,70,81,80,66,68,51,75,92,90,91,74,93,62,81,34,76,75,73,34611201,0,0,0,3,3,3,178,71,2033,161711,0,5,Chelsea,41,28,13,Premier League,1,3,0,0,2,0,0,0,0,0,0,0
28_09_2025,76929,0,,,,Irune Dorado,,155388,17,45,1,1,14,10,-1,-1,-1,-1,-1,18,0,0,0,0,68,88,1,68,45,63,68,55,50,12,13,12,11,13,38,42,63,78,35,44,60,54,71,45,32,74,74,48,56,62,42,50,67,69,65,57,73,52,55,64,58,66,40,0,0,0,0,2,1,3,157,53,2028,161547,0,116326,Real Madrid,28,14,2222,Liga F Moeve,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,77033,0,,,,William Gomes,,154650,19,54,0,2,23,27,12,-1,-1,-1,-1,36,35,39,0,0,76,85,1,84,70,71,77,30,54,6,9,8,12,7,73,69,39,74,66,22,37,29,78,83,66,64,79,79,60,64,54,73,85,84,86,72,81,41,63,29,73,68,61,1,0,0,0,3,3,3,171,66,2029,161547,0,236,FC Porto,7,28,308,Liga Portugal,1,4,0,0,7,0,0,0,0,0,0,1
28_09_2025,77126,0,,,,Wisdom Mike,,155574,17,21,0,2,16,27,-1,-1,-1,-1,-1,27,0,0,0,0,63,85,1,71,57,58,64,33,44,7,8,8,10,11,64,60,51,58,61,31,39,38,66,59,57,57,64,61,49,45,43,54,73,71,76,54,79,43,43,27,62,58,51,0,0,0,0,2,2,5,175,65,2027,161554,0,21,FC Bayern München,36,29,19,Bundesliga,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,77152,0,,,,Sean Steur,,155317,17,34,0,1,14,10,-1,-1,-1,-1,-1,20,16,0,0,0,68,85,1,77,52,68,73,54,59,13,13,5,10,12,64,56,46,71,48,53,59,49,73,69,57,67,73,56,63,64,59,50,76,78,77,68,75,53,73,60,66,73,56,8192,0,0,0,2,2,4,183,62,2028,161383,0,245,Ajax,48,15,10,Eredivisie,1,4,0,0,0,0,0,0,0,0,0,0
28_09_2025,78012,0,,,,Yan Diomande,,154894,18,108,0,1,23,27,16,12,-1,-1,-1,35,36,39,30,0,80,89,1,91,73,70,84,38,60,9,15,7,5,13,65,79,65,77,71,40,33,36,87,71,55,63,82,75,79,62,65,69,89,93,88,77,79,38,74,31,77,75,62,35651584,0,0,0,3,3,4,181,76,2030,161713,0,112172,RB Leipzig,49,23,19,Bundesliga,1,3,0,0,10,0,0,0,0,0,0,1
28_09_2025,78063,0,,,,Lennart Karl,,155359,17,21,0,2,18,12,25,-1,-1,-1,-1,32,25,0,0,0,74,88,1,72,70,68,79,35,40,11,6,8,14,12,68,70,47,73,66,36,32,35,81,72,56,60,78,68,51,56,34,74,77,68,84,70,89,33,68,34,70,72,62,8449,0,0,0,3,2,3,168,67,2028,161610,0,21,FC Bayern München,42,28,19,Bundesliga,1,3,0,0,4,0,0,0,0,0,0,1
28_09_2025,78357,0,,,,Clara Serrajordi,,155282,17,45,1,1,14,18,-1,-1,-1,-1,-1,21,32,0,0,0,70,89,1,69,58,67,71,53,58,11,9,9,6,12,62,65,45,76,45,39,65,47,74,50,52,73,75,55,55,70,54,60,69,70,67,66,57,52,62,67,64,67,57,0,0,0,0,2,2,3,170,64,2027,161552,0,116325,FC Barcelona,16,14,2222,Liga F Moeve,1,4,0,0,1,0,0,0,0,0,0,0
28_09_2025,78577,0,,,,Mussa Kaba,,155628,16,21,0,1,10,14,-1,-1,-1,-1,-1,14,16,20,0,0,62,85,1,57,35,59,57,61,59,13,6,8,10,15,52,34,64,69,32,61,62,52,56,37,36,67,59,42,67,49,67,32,56,58,62,59,48,48,65,64,38,59,35,0,0,0,0,1,1,3,197,86,2027,161890,0,22,Borussia Dortmund,48,29,19,Bundesliga,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,78685,0,,,,Lisa Baum,,154905,18,21,1,2,12,18,23,-1,-1,-1,-1,23,31,0,0,0,74,85,1,80,69,70,74,42,57,9,11,13,9,6,72,70,56,70,63,43,41,33,76,70,69,65,78,73,68,63,55,72,80,81,77,64,70,53,61,39,70,74,63,128,0,0,0,3,3,3,170,58,2028,161705,0,116021,RB Leipzig,11,12,2215,GPFBL,1,4,0,0,4,0,0,0,0,0,0,1
28_09_2025,78694,0,,,,Lotta Wrede,,155400,17,21,1,2,16,14,27,-1,-1,-1,-1,29,22,0,0,0,68,85,1,73,63,63,65,51,56,7,11,11,7,14,65,64,59,68,60,49,51,38,67,63,49,62,71,64,67,59,56,65,75,74,58,63,55,52,57,59,61,64,58,0,0,0,0,2,3,3,173,61,2031,161333,0,132533,Hamburger SV,32,16,2215,GPFBL,1,3,0,0,3,0,0,0,0,0,0,1
28_09_2025,79399,0,,,,Gilberto Mora,,155594,16,83,0,1,18,27,14,-1,-1,-1,-1,31,40,21,0,0,74,87,1,67,65,73,74,50,48,11,12,5,9,9,72,70,48,75,58,44,58,57,74,74,48,73,78,61,50,55,44,64,68,67,72,72,71,51,70,45,74,77,53,16777216,0,0,0,2,2,3,168,65,2028,160786,0,111592,Free Agents,99,29,382,Free Agents,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,79451,0,,,,Noemi Ivelj,,154881,18,47,1,1,5,-1,-1,-1,-1,-1,-1,13,0,0,0,0,69,85,1,64,61,66,67,72,64,12,10,9,14,7,60,62,65,72,57,71,74,71,65,60,56,68,71,63,69,68,64,61,65,64,73,57,75,57,56,73,58,65,59,0,0,0,0,1,1,3,171,64,2028,161698,0,116037,Montpellier,13,29,2218,Arkema PL,1,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,80376,0,,,,Rio Ngumoha,,155548,17,14,0,1,16,27,-1,-1,-1,-1,-1,30,27,0,0,0,71,88,1,90,64,60,75,35,53,11,9,8,9,12,68,68,38,58,57,33,42,30,78,69,52,50,72,69,61,63,54,62,94,90,85,63,88,39,72,37,65,68,59,34603008,0,0,0,3,3,3,170,68,2028,161698,0,57,AJ Auxerre,15,29,16,Ligue 1 McDonald's,1,4,0,0,1,0,0,0,0,0,0,0
28_09_2025,80384,0,,,,Cardoso Varela,,155609,16,38,0,1,27,16,-1,-1,-1,-1,-1,39,30,0,0,0,69,88,1,78,64,62,71,25,44,10,14,14,5,7,63,70,45,65,50,20,25,21,75,57,57,60,71,58,49,61,40,69,79,77,75,50,75,31,62,25,63,63,61,1048576,0,0,0,2,2,4,169,60,2028,161729,0,211,Dinamo Zagreb,23,29,76,Men's ROW,4,3,0,0,0,0,0,0,0,0,0,0
